[588, 'ENSMUSG00000098833.1']
[589, 'ENSMUSG00000026077.11']
[590, 'ENSMUSG00000092553.1']
[591, 'ENSMUSG00000092563.1']
[592, 'ENSMUSG00000073702.7']
[593, 'ENSMUSG00000003134.6']
[594, 'ENSMUSG00000102607.1']
[595, 'ENSMUSG00000065629.2']
[596, 'ENSMUSG00000003135.11']
[597, 'ENSMUSG00000085894.1']
[598, 'ENSMUSG00000077704.1']
[599, 'ENSMUSG00000048234.9']
[600, 'ENSMUSG00000064936.1']
[601, 'ENSMUSG00000102471.1']
[602, 'ENSMUSG00000050967.5']
[603, 'ENSMUSG00000097083.1']
[604, 'ENSMUSG00000057173.8']
[605, 'ENSMUSG00000091937.3']
[606, 'ENSMUSG00000101634.2']
[607, 'ENSMUSG00000026074.10']
[608, 'ENSMUSG00000102985.1']
[609, 'ENSMUSG00000026073.9']
[610, 'ENSMUSG00000097899.2']
[611, 'ENSMUSG00000102975.1']
[612, 'ENSMUSG00000101749.2']
[613, 'ENSMUSG00000026072.8']
[614, 'ENSMUSG00000103560.1']
[615, 'ENSMUSG00000070942.4']
[616, 'ENSMUSG00000103230.1']
[617, 'ENSMUSG00000026069.11']
[618, 'ENSMUSG00000026070.11']
[619, 'ENSMUSG00000026068.7']
[620, 'ENSMUSG00000104441.1']
[621, 'ENSMUSG00000026065.8']
[622, 'ENSMUSG00000102676.1']
[623, 'ENSMUSG00000026062.8']
[624, 'ENSMUSG00000103679.1']
[625, 'ENSMUSG00000103270.1']
[626, 'ENSMUSG00000041945.8']
[627, 'ENSMUSG00000079588.3']
[628, 'ENSMUSG00000094136.2']
[629, 'ENSMUSG00000104072.1']
[630, 'ENSMUSG00000100185.1']
[631, 'ENSMUSG00000100832.1']
[632, 'ENSMUSG00000100178.1']
[633, 'ENSMUSG00000101877.1']
[634, 'ENSMUSG00000053640.2']
[635, 'ENSMUSG00000101919.1']
[636, 'ENSMUSG00000101299.1']
[637, 'ENSMUSG00000100180.1']
[638, 'ENSMUSG00000103106.1']
[639, 'ENSMUSG00000060424.10']
[640, 'ENSMUSG00000104199.1']
[641, 'ENSMUSG00000093436.2']
[642, 'ENSMUSG00000045515.3']
[643, 'ENSMUSG00000097063.3']
[644, 'ENSMUSG00000099784.1']
[645, 'ENSMUSG00000060679.10']
[646, 'ENSMUSG00000077448.1']
[647, 'ENSMUSG00000041907.9']
[648, 'ENSMUSG00000089088.1']
[649, 'ENSMUSG00000070939.5']
[650, 'ENSMUSG00000100269.1']
[651, 'ENSMUSG00000041878.3']
[652, 'ENSMUSG00000010290.7']
[653, 'ENSMUSG00000008136.10']
[654, 'ENSMUSG00000094497.1']
[655, 'ENSMUSG00000099576.1']
[656, 'ENSMUSG00000099694.1']
[657, 'ENSMUSG00000101923.1']
[658, 'ENSMUSG00000066877.7']
[659, 'ENSMUSG00000103422.1']
[660, 'ENSMUSG00000103945.1']
[661, 'ENSMUSG00000026051.8']
[662, 'ENSMUSG00000100764.1']
[663, 'ENSMUSG00000100635.1']
[664, 'ENSMUSG00000100480.1']
[665, 'ENSMUSG00000057363.8']
[666, 'ENSMUSG00000090243.1']
[667, 'ENSMUSG00000100701.1']
[668, 'ENSMUSG00000101395.1']
[669, 'ENSMUSG00000088848.1']
[670, 'ENSMUSG00000095757.1']
[671, 'ENSMUSG00000041763.10']
[672, 'ENSMUSG00000047343.4']
[673, 'ENSMUSG00000090106.1']
[674, 'ENSMUSG00000091844.1']
[675, 'ENSMUSG00000026049.7']
[676, 'ENSMUSG00000101104.2']
[677, 'ENSMUSG00000026047.9']
[678, 'ENSMUSG00000041684.7']
[679, 'ENSMUSG00000026048.12']
[680, 'ENSMUSG00000046828.3']
[681, 'ENSMUSG00000089703.1']
[682, 'ENSMUSG00000100966.1']
[683, 'ENSMUSG00000100769.1']
[684, 'ENSMUSG00000101567.1']
[685, 'ENSMUSG00000056870.5']
[686, 'ENSMUSG00000102319.1']
[687, 'ENSMUSG00000089877.1']
[688, 'ENSMUSG00000101701.1']
[689, 'ENSMUSG00000103071.1']
[690, 'ENSMUSG00000100434.1']
[691, 'ENSMUSG00000100013.1']
[692, 'ENSMUSG00000101251.1']
[693, 'ENSMUSG00000101937.1']
