[730, 'ENSG00000252578.1']
[731, 'ENSG00000179546.3']
[732, 'ENSG00000215381.3']
[733, 'ENSG00000261326.2']
[734, 'ENSG00000125944.14']
[735, 'ENSG00000125945.10']
[736, 'ENSG00000249087.3']
[737, 'ENSG00000201405.1']
[738, 'ENSG00000271420.1']
[739, 'ENSG00000204219.5']
[740, 'ENSG00000232482.2']
[741, 'ENSG00000088280.14']
[742, 'ENSG00000007968.6']
[743, 'ENSG00000235052.1']
[744, 'ENSG00000117318.8']
[745, 'ENSG00000197880.4']
[746, 'ENSG00000229239.2']
[747, 'ENSG00000142676.8']
[748, 'ENSG00000203589.2']
[749, 'ENSG00000244609.2']
[750, 'ENSG00000011007.8']
[751, 'ENSG00000236810.1']
[752, 'ENSG00000057757.5']
[753, 'ENSG00000011009.6']
[754, 'ENSG00000117308.10']
[755, 'ENSG00000117305.10']
[756, 'ENSG00000179163.11']
[757, 'ENSG00000188822.6']
[758, 'ENSG00000264347.1']
[759, 'ENSG00000238538.1']
[760, 'ENSG00000229106.1']
[761, 'ENSG00000232557.3']
[762, 'ENSG00000264926.1']
[763, 'ENSG00000230228.2']
[764, 'ENSG00000189266.7']
[765, 'ENSG00000188529.10']
[766, 'ENSG00000215905.4']
[767, 'ENSG00000225315.2']
[768, 'ENSG00000142661.14']
[769, 'ENSG00000230703.1']
[770, 'ENSG00000142677.3']
[771, 'ENSG00000185436.7']
[772, 'ENSG00000230023.2']
[773, 'ENSG00000221032.3']
[774, 'ENSG00000266511.1']
[775, 'ENSG00000232298.2']
[776, 'ENSG00000158055.11']
[777, 'ENSG00000001460.13']
[778, 'ENSG00000001461.12']
[779, 'ENSG00000117602.7']
[780, 'ENSG00000266551.1']
[781, 'ENSG00000264443.1']
[782, 'ENSG00000184454.6']
[783, 'ENSG00000227312.2']
[784, 'ENSG00000239106.1']
[785, 'ENSG00000133226.12']
[786, 'ENSG00000238986.1']
[787, 'ENSG00000169504.10']
[788, 'ENSG00000238482.1']
[789, 'ENSG00000020633.14']
[790, 'ENSG00000229162.1']
[791, 'ENSG00000261025.1']
[792, 'ENSG00000264371.1']
[793, 'ENSG00000233755.1']
[794, 'ENSG00000233419.2']
[795, 'ENSG00000231953.1']
[796, 'ENSG00000117614.5']
[797, 'ENSG00000117616.13']
[798, 'ENSG00000272432.1']
[799, 'ENSG00000261349.1']
[800, 'ENSG00000187010.14']
[801, 'ENSG00000224183.1']
[802, 'ENSG00000259984.1']
[803, 'ENSG00000183726.6']
[804, 'ENSG00000252515.1']
[805, 'ENSG00000238889.1']
[806, 'ENSG00000188672.12']
[807, 'ENSG00000238084.3']
[808, 'ENSG00000266468.1']
[809, 'ENSG00000204178.5']
[810, 'ENSG00000157978.7']
[811, 'ENSG00000225643.1']
[812, 'ENSG00000117643.10']
[813, 'ENSG00000233478.1']
[814, 'ENSG00000162430.12']
[815, 'ENSG00000255054.3']
[816, 'ENSG00000228172.1']
[817, 'ENSG00000117640.13']
[818, 'ENSG00000223474.2']
[819, 'ENSG00000272478.1']
[820, 'ENSG00000127423.6']
[821, 'ENSG00000236528.1']
[822, 'ENSG00000182749.5']
