[493, 'ENSMUSG00000082160.1']
[494, 'ENSMUSG00000088973.1']
[495, 'ENSMUSG00000084151.1']
[496, 'ENSMUSG00000082209.1']
[497, 'ENSMUSG00000026012.2']
[498, 'ENSMUSG00000086795.1']
[499, 'ENSMUSG00000085965.1']
[500, 'ENSMUSG00000083118.1']
[501, 'ENSMUSG00000083355.1']
[502, 'ENSMUSG00000026011.6']
[503, 'ENSMUSG00000081382.1']
[504, 'ENSMUSG00000080800.1']
[505, 'ENSMUSG00000026009.8']
[506, 'ENSMUSG00000082804.2']
[507, 'ENSMUSG00000082661.1']
[508, 'ENSMUSG00000080785.1']
[509, 'ENSMUSG00000085248.1']
[510, 'ENSMUSG00000085447.1']
[511, 'ENSMUSG00000086408.1']
[512, 'ENSMUSG00000089546.1']
[513, 'ENSMUSG00000086009.1']
[514, 'ENSMUSG00000052062.7']
[515, 'ENSMUSG00000085842.1']
[516, 'ENSMUSG00000085019.1']
[517, 'ENSMUSG00000085400.1']
[518, 'ENSMUSG00000046526.6']
[519, 'ENSMUSG00000081950.1']
[520, 'ENSMUSG00000084333.1']
[521, 'ENSMUSG00000025969.9']
[522, 'ENSMUSG00000040865.8']
[523, 'ENSMUSG00000088953.1']
[524, 'ENSMUSG00000081617.1']
[525, 'ENSMUSG00000081429.1']
[526, 'ENSMUSG00000084799.1']
[527, 'ENSMUSG00000025968.9']
[528, 'ENSMUSG00000025967.9']
[529, 'ENSMUSG00000064612.1']
[530, 'ENSMUSG00000064602.1']
[531, 'ENSMUSG00000046856.7']
[532, 'ENSMUSG00000092874.1']
[533, 'ENSMUSG00000086730.1']
[534, 'ENSMUSG00000087561.1']
[535, 'ENSMUSG00000092705.1']
[536, 'ENSMUSG00000027520.8']
[537, 'ENSMUSG00000065946.1']
[538, 'ENSMUSG00000083039.1']
[539, 'ENSMUSG00000081643.1']
[540, 'ENSMUSG00000025964.7']
[541, 'ENSMUSG00000087823.1']
[542, 'ENSMUSG00000069085.5']
[543, 'ENSMUSG00000083066.1']
[544, 'ENSMUSG00000025963.4']
[545, 'ENSMUSG00000025962.8']
[546, 'ENSMUSG00000025961.1']
[547, 'ENSMUSG00000080817.1']
[548, 'ENSMUSG00000082373.1']
[549, 'ENSMUSG00000044689.5']
[550, 'ENSMUSG00000025959.6']
[551, 'ENSMUSG00000090886.1']
[552, 'ENSMUSG00000086836.1']
[553, 'ENSMUSG00000086721.2']
[554, 'ENSMUSG00000093228.1']
[555, 'ENSMUSG00000025958.7']
[556, 'ENSMUSG00000025956.4']
[557, 'ENSMUSG00000087213.1']
[558, 'ENSMUSG00000070871.4']
[559, 'ENSMUSG00000045005.8']
[560, 'ENSMUSG00000051344.7']
[561, 'ENSMUSG00000084416.2']
[562, 'ENSMUSG00000077471.1']
[563, 'ENSMUSG00000025955.7']
[564, 'ENSMUSG00000090042.1']
[565, 'ENSMUSG00000070870.6']
[566, 'ENSMUSG00000067299.5']
[567, 'ENSMUSG00000025952.9']
[568, 'ENSMUSG00000073658.2']
[569, 'ENSMUSG00000044429.8']
[570, 'ENSMUSG00000044816.4']
[571, 'ENSMUSG00000025950.9']
[572, 'ENSMUSG00000025949.9']
[573, 'ENSMUSG00000025946.7']
[574, 'ENSMUSG00000082565.1']
[575, 'ENSMUSG00000082774.1']
[576, 'ENSMUSG00000025945.5']
[577, 'ENSMUSG00000081623.1']
[578, 'ENSMUSG00000083242.1']
[579, 'ENSMUSG00000083289.1']
[580, 'ENSMUSG00000015222.10']
[581, 'ENSMUSG00000088850.1']
[582, 'ENSMUSG00000073656.4']
[583, 'ENSMUSG00000065694.1']
[584, 'ENSMUSG00000055567.8']
[585, 'ENSMUSG00000026005.9']
[586, 'ENSMUSG00000026004.8']
[587, 'ENSMUSG00000082057.1']
[588, 'ENSMUSG00000026003.5']
[589, 'ENSMUSG00000082769.2']
[590, 'ENSMUSG00000089518.1']
[591, 'ENSMUSG00000077328.1']
[592, 'ENSMUSG00000061816.9']
[593, 'ENSMUSG00000059999.5']
[594, 'ENSMUSG00000082212.1']
[595, 'ENSMUSG00000026000.10']
[596, 'ENSMUSG00000025991.8']
[597, 'ENSMUSG00000086204.1']
[598, 'ENSMUSG00000077745.1']
[599, 'ENSMUSG00000082473.1']
[600, 'ENSMUSG00000085075.1']
[601, 'ENSMUSG00000093213.1']
[602, 'ENSMUSG00000087329.1']
[603, 'ENSMUSG00000062209.8']
[604, 'ENSMUSG00000083795.1']
[605, 'ENSMUSG00000080539.1']
[606, 'ENSMUSG00000087514.1']
[607, 'ENSMUSG00000084332.1']
[608, 'ENSMUSG00000025997.7']
[609, 'ENSMUSG00000053153.7']
[610, 'ENSMUSG00000089345.1']
[611, 'ENSMUSG00000080524.1']
[612, 'ENSMUSG00000075952.1']
[613, 'ENSMUSG00000045648.8']
[614, 'ENSMUSG00000026196.7']
[615, 'ENSMUSG00000089965.1']
[616, 'ENSMUSG00000050296.8']
[617, 'ENSMUSG00000026192.7']
[618, 'ENSMUSG00000026193.8']
[619, 'ENSMUSG00000073652.4']
[620, 'ENSMUSG00000067744.3']
[621, 'ENSMUSG00000060125.4']
[622, 'ENSMUSG00000039395.7']
[623, 'ENSMUSG00000075752.1']
[624, 'ENSMUSG00000085769.1']
[625, 'ENSMUSG00000093247.1']
[626, 'ENSMUSG00000093111.1']
[627, 'ENSMUSG00000093333.1']
[628, 'ENSMUSG00000026189.7']
[629, 'ENSMUSG00000026188.5']
[630, 'ENSMUSG00000026187.8']
[631, 'ENSMUSG00000039372.5']
[632, 'ENSMUSG00000085812.1']
[633, 'ENSMUSG00000039354.9']
[634, 'ENSMUSG00000039342.4']
[635, 'ENSMUSG00000046330.9']
[636, 'ENSMUSG00000039323.11']
[637, 'ENSMUSG00000026185.8']
[638, 'ENSMUSG00000026182.5']
[639, 'ENSMUSG00000088666.1']
[640, 'ENSMUSG00000055322.7']
[641, 'ENSMUSG00000061815.5']
[642, 'ENSMUSG00000026180.7']
[643, 'ENSMUSG00000048480.4']
[644, 'ENSMUSG00000087820.1']
[645, 'ENSMUSG00000075767.1']
[646, 'ENSMUSG00000006304.8']
[647, 'ENSMUSG00000064272.3']
[648, 'ENSMUSG00000006299.6']
[649, 'ENSMUSG00000026179.8']
[650, 'ENSMUSG00000006301.10']
[651, 'ENSMUSG00000073650.2']
[652, 'ENSMUSG00000026177.5']
[653, 'ENSMUSG00000026176.7']
[654, 'ENSMUSG00000065468.1']
[655, 'ENSMUSG00000026175.6']
[656, 'ENSMUSG00000033364.6']
[657, 'ENSMUSG00000026174.8']
[658, 'ENSMUSG00000026173.9']
[659, 'ENSMUSG00000026135.10']
[660, 'ENSMUSG00000093155.1']
[661, 'ENSMUSG00000026172.6']
[662, 'ENSMUSG00000026171.6']
[663, 'ENSMUSG00000033276.11']
[664, 'ENSMUSG00000033257.8']
[665, 'ENSMUSG00000026170.5']
[666, 'ENSMUSG00000006542.7']
[667, 'ENSMUSG00000033227.6']
[668, 'ENSMUSG00000026167.8']
[669, 'ENSMUSG00000089964.1']
[670, 'ENSMUSG00000090071.2']
[671, 'ENSMUSG00000055197.4']
[672, 'ENSMUSG00000006546.2']
[673, 'ENSMUSG00000065616.2']
[674, 'ENSMUSG00000047021.8']
[675, 'ENSMUSG00000089653.1']
[676, 'ENSMUSG00000006538.8']
[677, 'ENSMUSG00000026162.5']
[678, 'ENSMUSG00000026205.6']
[679, 'ENSMUSG00000033159.7']
[680, 'ENSMUSG00000049339.9']
